label,house,file,py_file,draw
145,House.b18,wwhp.dck,zpy_wwhp.dck,old
146,House.b18,wwhp.dck,zpy_wwhp.dck,old
147,House.b18,wwhp.dck,zpy_wwhp.dck,old
148,House.b18,wwhp.dck,zpy_wwhp.dck,old
149,House.b18,wwhp.dck,zpy_wwhp.dck,old
150,House.b18,wwhp.dck,zpy_wwhp.dck,old
151,House.b18,wwhp.dck,zpy_wwhp.dck,old
152,House.b18,wwhp.dck,zpy_wwhp.dck,old
153,House.b18,wwhp.dck,zpy_wwhp.dck,old
154,House.b18,wwhp.dck,zpy_wwhp.dck,old
155,House.b18,wwhp.dck,zpy_wwhp.dck,old
156,House.b18,wwhp.dck,zpy_wwhp.dck,old
157,House.b18,wwhp.dck,zpy_wwhp.dck,old
158,House.b18,wwhp.dck,zpy_wwhp.dck,old
159,House.b18,wwhp.dck,zpy_wwhp.dck,old
160,House.b18,wwhp.dck,zpy_wwhp.dck,old
161,House.b18,wwhp.dck,zpy_wwhp.dck,old
162,House.b18,wwhp.dck,zpy_wwhp.dck,old
163,House.b18,wwhp.dck,zpy_wwhp.dck,old
164,House.b18,wwhp.dck,zpy_wwhp.dck,old
165,House.b18,wwhp.dck,zpy_wwhp.dck,old
166,House.b18,wwhp.dck,zpy_wwhp.dck,old
167,House.b18,wwhp.dck,zpy_wwhp.dck,old
168,House.b18,wwhp.dck,zpy_wwhp.dck,old
169,House.b18,wwhp.dck,zpy_wwhp.dck,old
170,House.b18,wwhp.dck,zpy_wwhp.dck,old
171,House.b18,wwhp.dck,zpy_wwhp.dck,old
172,House.b18,wwhp.dck,zpy_wwhp.dck,old
173,House.b18,wwhp.dck,zpy_wwhp.dck,old
174,House.b18,wwhp.dck,zpy_wwhp.dck,old
175,House.b18,wwhp.dck,zpy_wwhp.dck,old
176,House.b18,wwhp.dck,zpy_wwhp.dck,old
177,House.b18,wwhp.dck,zpy_wwhp.dck,old
178,House.b18,wwhp.dck,zpy_wwhp.dck,old
179,House.b18,wwhp.dck,zpy_wwhp.dck,old
180,House.b18,wwhp.dck,zpy_wwhp.dck,old
181,House.b18,wwhp.dck,zpy_wwhp.dck,old
182,House.b18,wwhp.dck,zpy_wwhp.dck,old
183,House.b18,wwhp.dck,zpy_wwhp.dck,old
184,House.b18,wwhp.dck,zpy_wwhp.dck,old
185,House.b18,wwhp.dck,zpy_wwhp.dck,old
186,House.b18,wwhp.dck,zpy_wwhp.dck,old
187,House.b18,wwhp.dck,zpy_wwhp.dck,old
188,House.b18,wwhp.dck,zpy_wwhp.dck,old
189,House.b18,wwhp.dck,zpy_wwhp.dck,old
190,House.b18,wwhp.dck,zpy_wwhp.dck,old
191,House.b18,wwhp.dck,zpy_wwhp.dck,old
192,House.b18,wwhp.dck,zpy_wwhp.dck,old
193,House.b18,wwhp.dck,zpy_wwhp.dck,old
194,House.b18,wwhp.dck,zpy_wwhp.dck,old
195,House.b18,wwhp.dck,zpy_wwhp.dck,old
196,House.b18,wwhp.dck,zpy_wwhp.dck,old
197,House.b18,wwhp.dck,zpy_wwhp.dck,old
198,House.b18,wwhp.dck,zpy_wwhp.dck,old
199,House.b18,wwhp.dck,zpy_wwhp.dck,old
200,House.b18,wwhp.dck,zpy_wwhp.dck,old
201,House.b18,wwhp.dck,zpy_wwhp.dck,old
202,House.b18,wwhp.dck,zpy_wwhp.dck,old
203,House.b18,wwhp.dck,zpy_wwhp.dck,old
204,House.b18,wwhp.dck,zpy_wwhp.dck,old
205,House.b18,wwhp.dck,zpy_wwhp.dck,old
206,House.b18,wwhp.dck,zpy_wwhp.dck,old
207,House.b18,wwhp.dck,zpy_wwhp.dck,old
208,House.b18,wwhp.dck,zpy_wwhp.dck,old
209,House.b18,wwhp.dck,zpy_wwhp.dck,old
210,House.b18,wwhp.dck,zpy_wwhp.dck,old
211,House.b18,wwhp.dck,zpy_wwhp.dck,old
212,House.b18,wwhp.dck,zpy_wwhp.dck,old
213,House.b18,wwhp.dck,zpy_wwhp.dck,old
214,House.b18,wwhp.dck,zpy_wwhp.dck,old
215,House.b18,wwhp.dck,zpy_wwhp.dck,old
216,House.b18,wwhp.dck,zpy_wwhp.dck,old
217,House.b18,wwhp.dck,zpy_wwhp.dck,old
218,House.b18,wwhp.dck,zpy_wwhp.dck,old
219,House.b18,wwhp.dck,zpy_wwhp.dck,old
220,House.b18,wwhp.dck,zpy_wwhp.dck,old
221,House.b18,wwhp.dck,zpy_wwhp.dck,old
222,House.b18,wwhp.dck,zpy_wwhp.dck,old
223,House.b18,wwhp.dck,zpy_wwhp.dck,old
224,House.b18,wwhp.dck,zpy_wwhp.dck,old
225,House.b18,wwhp.dck,zpy_wwhp.dck,old
226,House.b18,wwhp.dck,zpy_wwhp.dck,old
227,House.b18,wwhp.dck,zpy_wwhp.dck,old
228,House.b18,wwhp.dck,zpy_wwhp.dck,old
229,House.b18,wwhp.dck,zpy_wwhp.dck,old
230,House.b18,wwhp.dck,zpy_wwhp.dck,old
231,House.b18,wwhp.dck,zpy_wwhp.dck,old
232,House.b18,wwhp.dck,zpy_wwhp.dck,old
233,House.b18,wwhp.dck,zpy_wwhp.dck,old
234,House.b18,wwhp.dck,zpy_wwhp.dck,old
235,House.b18,wwhp.dck,zpy_wwhp.dck,old
236,House.b18,wwhp.dck,zpy_wwhp.dck,old
237,House.b18,wwhp.dck,zpy_wwhp.dck,old
238,House.b18,wwhp.dck,zpy_wwhp.dck,old
239,House.b18,wwhp.dck,zpy_wwhp.dck,old
240,House.b18,wwhp.dck,zpy_wwhp.dck,old
241,House.b18,wwhp.dck,zpy_wwhp.dck,old
242,House.b18,wwhp.dck,zpy_wwhp.dck,old
243,House.b18,wwhp.dck,zpy_wwhp.dck,old
244,House.b18,wwhp.dck,zpy_wwhp.dck,old
245,House.b18,wwhp.dck,zpy_wwhp.dck,old
246,House.b18,wwhp.dck,zpy_wwhp.dck,old
247,House.b18,wwhp.dck,zpy_wwhp.dck,old
248,House.b18,wwhp.dck,zpy_wwhp.dck,old
249,House.b18,wwhp.dck,zpy_wwhp.dck,old
250,House.b18,wwhp.dck,zpy_wwhp.dck,old
251,House.b18,wwhp.dck,zpy_wwhp.dck,old
252,House.b18,wwhp.dck,zpy_wwhp.dck,old
253,House.b18,wwhp.dck,zpy_wwhp.dck,old
254,House.b18,wwhp.dck,zpy_wwhp.dck,old
255,House.b18,wwhp.dck,zpy_wwhp.dck,old
256,House.b18,wwhp.dck,zpy_wwhp.dck,old
257,House.b18,wwhp.dck,zpy_wwhp.dck,old
258,House.b18,wwhp.dck,zpy_wwhp.dck,old
259,House.b18,wwhp.dck,zpy_wwhp.dck,old
260,House.b18,wwhp.dck,zpy_wwhp.dck,old
261,House.b18,wwhp.dck,zpy_wwhp.dck,old
262,House.b18,wwhp.dck,zpy_wwhp.dck,old
263,House.b18,wwhp.dck,zpy_wwhp.dck,old
264,House.b18,wwhp.dck,zpy_wwhp.dck,old
265,House.b18,wwhp.dck,zpy_wwhp.dck,old
266,House.b18,wwhp.dck,zpy_wwhp.dck,old
267,House.b18,wwhp.dck,zpy_wwhp.dck,old
268,House.b18,wwhp.dck,zpy_wwhp.dck,old
269,House.b18,wwhp.dck,zpy_wwhp.dck,old
270,House.b18,wwhp.dck,zpy_wwhp.dck,old
271,House.b18,wwhp.dck,zpy_wwhp.dck,old
272,House.b18,wwhp.dck,zpy_wwhp.dck,old
273,House.b18,wwhp.dck,zpy_wwhp.dck,old
274,House.b18,wwhp.dck,zpy_wwhp.dck,old
275,House.b18,wwhp.dck,zpy_wwhp.dck,old
276,House.b18,wwhp.dck,zpy_wwhp.dck,old
277,House.b18,wwhp.dck,zpy_wwhp.dck,old
278,House.b18,wwhp.dck,zpy_wwhp.dck,old
279,House.b18,wwhp.dck,zpy_wwhp.dck,old
280,House.b18,wwhp.dck,zpy_wwhp.dck,old
281,House.b18,wwhp.dck,zpy_wwhp.dck,old
282,House.b18,wwhp.dck,zpy_wwhp.dck,old
283,House.b18,wwhp.dck,zpy_wwhp.dck,old
284,House.b18,wwhp.dck,zpy_wwhp.dck,old
285,House.b18,wwhp.dck,zpy_wwhp.dck,old
286,House.b18,wwhp.dck,zpy_wwhp.dck,old
287,House.b18,wwhp.dck,zpy_wwhp.dck,old
288,House.b18,wwhp.dck,zpy_wwhp.dck,old
289,House.b18,wwhp.dck,zpy_wwhp.dck,old
290,House.b18,wwhp.dck,zpy_wwhp.dck,old
291,House.b18,wwhp.dck,zpy_wwhp.dck,old
292,House.b18,wwhp.dck,zpy_wwhp.dck,old
293,House.b18,wwhp.dck,zpy_wwhp.dck,old
294,House.b18,wwhp.dck,zpy_wwhp.dck,old
295,House.b18,wwhp.dck,zpy_wwhp.dck,old
296,House.b18,wwhp.dck,zpy_wwhp.dck,old
297,House.b18,wwhp.dck,zpy_wwhp.dck,old
298,House.b18,wwhp.dck,zpy_wwhp.dck,old
299,House.b18,wwhp.dck,zpy_wwhp.dck,old
300,House.b18,wwhp.dck,zpy_wwhp.dck,old
301,House.b18,wwhp.dck,zpy_wwhp.dck,old
302,House.b18,wwhp.dck,zpy_wwhp.dck,old
303,House.b18,wwhp.dck,zpy_wwhp.dck,old
304,House.b18,wwhp.dck,zpy_wwhp.dck,old
305,House.b18,wwhp.dck,zpy_wwhp.dck,old
306,House.b18,wwhp.dck,zpy_wwhp.dck,old
307,House.b18,wwhp.dck,zpy_wwhp.dck,old
308,House.b18,wwhp.dck,zpy_wwhp.dck,old
309,House.b18,wwhp.dck,zpy_wwhp.dck,old
310,House.b18,wwhp.dck,zpy_wwhp.dck,old
311,House.b18,wwhp.dck,zpy_wwhp.dck,old
312,House.b18,wwhp.dck,zpy_wwhp.dck,old
313,House.b18,wwhp.dck,zpy_wwhp.dck,old
314,House.b18,wwhp.dck,zpy_wwhp.dck,old
315,House.b18,wwhp.dck,zpy_wwhp.dck,old
316,House.b18,wwhp.dck,zpy_wwhp.dck,old
317,House.b18,wwhp.dck,zpy_wwhp.dck,old
318,House.b18,wwhp.dck,zpy_wwhp.dck,old
319,House.b18,wwhp.dck,zpy_wwhp.dck,old
320,House.b18,wwhp.dck,zpy_wwhp.dck,old
321,House.b18,wwhp.dck,zpy_wwhp.dck,old
322,House.b18,wwhp.dck,zpy_wwhp.dck,old
323,House.b18,wwhp.dck,zpy_wwhp.dck,old
324,House.b18,wwhp.dck,zpy_wwhp.dck,old
325,House.b18,wwhp.dck,zpy_wwhp.dck,old
326,House.b18,wwhp.dck,zpy_wwhp.dck,old
