label,volume,coll_area,flow_rate,design_case,r_level
263,0.15,16.0,50,PVT_9,r1
264,0.25,8.0,200,PVT_6,r1
265,0.2,20.0,100,PVT_9,r0
266,0.25,16.0,100,PVT_6,r0
267,0.2,8.0,50,PVT_6,r0
268,0.15,20.0,100,cp_PV,r0
269,0.2,20.0,100,cp_PV,r0
270,0.2,4.0,100,cp_PV,r0
271,0.25,20.0,100,cp_PV,r0
272,0.25,4.0,100,cp_PV,r0
273,0.15,4.0,100,cp_PV,r0
274,0.15,16.0,100,cp_PV,r0
275,0.15,0.001,100,cp_PV,r0
276,0.2,0.001,100,cp_PV,r0
277,0.25,16.0,100,cp_PV,r0
278,0.25,0.001,100,cp_PV,r0
279,0.2,16.0,100,cp_PV,r0
280,0.25,20.0,100,PVT_0,r0
281,0.25,8.0,100,PVT_0,r0
282,0.15,20.0,100,PVT_0,r0
283,0.15,8.0,100,PVT_0,r0
284,0.25,4.0,100,PVT_0,r0
285,0.25,16.0,100,PVT_0,r0
286,0.15,16.0,100,PVT_0,r0
287,0.15,4.0,100,PVT_0,r0
288,0.25,20.0,100,ST,r0
289,0.25,8.0,100,ST,r0
290,0.25,16.0,100,ST,r0
291,0.15,16.0,100,ST,r0
292,0.15,4.0,100,ST,r0
293,0.15,20.0,100,ST,r0
294,0.15,8.0,100,ST,r0
295,0.25,4.0,100,ST,r0
296,0.15,20.0,100,PVT_6,r0
297,0.25,8.0,50,PVT_6,r1
298,0.15,16.0,200,PVT_9,r0
299,0.2,16.0,100,PVT_9,r0
300,0.15,8.0,100,PVT_0,r1
301,0.25,4.0,200,PVT_9,r1
302,0.25,4.0,100,PVT_6,r1
303,0.2,4.0,50,cp_PV,r0
304,0.25,8.0,50,PVT_9,r0
305,0.25,16.0,100,PVT_0,r1
306,0.2,8.0,100,cp_PV,r0
307,0.25,16.0,100,ST,r1
308,0.2,16.0,200,PVT_6,r0
309,0.2,4.0,100,PVT_6,r0
310,0.15,20.0,100,PVT_0,r1
311,0.25,8.0,50,ST,r1
312,0.15,16.0,200,PVT_0,r0
313,0.2,16.0,100,PVT_6,r1
314,0.15,8.0,100,PVT_6,r1
315,0.2,20.0,50,PVT_9,r1
316,0.25,20.0,50,cp_PV,r1
317,0.15,16.0,200,PVT_9,r1
318,0.2,4.0,50,PVT_0,r1
319,0.2,8.0,200,cp_PV,r1
320,0.2,16.0,50,cp_PV,r1
321,0.2,16.0,100,PVT_6,r0
322,0.25,8.0,50,cp_PV,r0
323,0.25,8.0,50,PVT_0,r0
324,0.15,8.0,50,PVT_0,r1
325,0.25,8.0,100,PVT_6,r1
326,0.2,4.0,200,PVT_9,r1
327,0.15,8.0,200,cp_PV,r0
328,0.25,4.0,200,PVT_0,r0
329,0.15,8.0,200,PVT_9,r0
330,0.15,16.0,200,PVT_6,r0
331,0.15,8.0,100,PVT_9,r0
332,0.25,16.0,50,cp_PV,r0
333,0.2,8.0,100,cp_PV,r1
334,0.25,8.0,200,PVT_0,r1
335,0.15,8.0,100,PVT_6,r0
336,0.25,8.0,100,cp_PV,r1
337,0.25,4.0,100,PVT_6,r0
338,0.15,8.0,200,ST,r0
339,0.25,16.0,50,PVT_0,r0
340,0.2,8.0,50,cp_PV,r1
341,0.15,20.0,200,PVT_0,r1
342,0.2,16.0,200,PVT_9,r0
343,0.15,16.0,100,PVT_9,r0
344,0.25,4.0,200,PVT_9,r0
345,0.25,8.0,100,PVT_0,r1
346,0.15,16.0,50,PVT_6,r1
347,0.25,16.0,100,cp_PV,r1
348,0.15,4.0,50,PVT_6,r1
349,0.2,20.0,100,PVT_6,r1
350,0.2,16.0,100,cp_PV,r1
351,0.25,8.0,50,PVT_6,r0
352,0.2,8.0,200,PVT_0,r1
