label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet,cost
74,1430.8,1671.44,1863.67,1912.08,0,1906.428063,0,1023.187352,4600.816464,2073.612271,5171.193227,1271.690536,650.5414002,497.25,4.907402955,1.480954045,32.8,33.74,34.28,34.68,0,35.07411791,0,2.471239538,2.353006669,-1.275877724,68,8741,2.363877618,2.363877618,5.79293823,1071.9,11850
75,2506,2506,2506,2506,0,2534.738258,0,0,6264.382094,0,6264.258622,2422.128803,742.4185285,348,5.356960488,0,51.6,51.6,51.6,51.6,0,52.4705942,0,2.480270225,2.723264585,0.080920356,88,8760,2.363877618,2.363877618,5.271156458,1354.6,11712.5
76,1879.2,1955.81,2016.98,2032.42,0,2064.727585,0,325.922047,5023.73102,2591.672624,6365.549293,2411.128797,741.7592059,460.95,5.357255812,1.811248965,48,48.07,48.07,48.47,0,49.18861117,0,2.482889784,2.450275128,-1.589462947,83,8755,2.369859397,2.369859397,4.90084253,1335.9,20975
77,2028.4,2059.42,2083.86,2090.44,0,2137.756169,0,131.0047407,5202.298841,2073.010788,6390.973181,2450.410324,682.9015669,505.95,5.356960488,1.342382349,52,52,52,52,0,52.75743882,0,2.475194289,2.433066171,-1.221030828,85,8757,2.363877618,2.363877618,4.71944616,1342,19650
78,1726.4,2039.89,2290.47,2353.38,0,2324.316156,0,1333.871731,5649.644,2591.4585,6309.523283,2426.794138,723.7678546,407.25,5.356960488,1.882157662,47.6,48.61,49.48,49.95,0,50.59670247,0,2.495674168,2.536315119,-1.619479085,67,8740,2.363877618,2.363877618,4.98297538,1330.5,13312.5
79,2008.4,2008.4,2008.4,2008.4,0,2039.892936,0,0,5020.47058,0,5020.422458,1250.380643,637.4805248,380.85,5.356960488,0,35.6,35.6,35.6,35.6,0,36.25172342,0,2.507774233,2.456191622,0.080920356,88,8760,2.363877618,2.363877618,4.900125977,1064.8,11575
80,2301.2,2301.2,2301.2,2301.2,0,2360.833452,0,0,5752.718486,1035.629703,6425.222222,2428.561683,758.7992488,486.15,5.356960488,0,51.2,51.2,51.2,51.2,0,52.30694574,0,2.4817954,2.507734982,0,88,8760,2.342997188,2.363877618,4.887954405,1334.7,17375
81,1922.4,1948.25,1968.93,1974.1,0,2016.18136,0,109.0958766,4915.113894,517.4883793,5197.997934,1261.990757,700.5458857,483.75,5.356960488,0.29971569,34.4,34.47,34.47,34.87,0,35.73141594,0,2.495992244,2.434513525,-0.254141206,82,8754,2.194090339,2.363877618,4.903403358,1069.3,8375
82,1752.4,1838.88,1907.97,1925.36,0,1956.605326,0,367.0805728,4748.546567,1036.174344,5172.087465,1248.777733,694.7484412,476.85,5.356960488,0.693117506,34.4,34.87,34.94,35.34,0,35.78829336,0,2.496968486,2.40207114,-0.589327394,75,8748,2.363877618,2.363877618,4.894890854,1061.2,9575
83,2011.6,2011.6,2011.6,2011.6,0,2043.076119,0,0,5028.254168,0,5028.233175,1249.688242,651.0836419,375.75,5.356960488,0,35.6,35.6,35.6,35.6,0,36.53034819,0,2.507113571,2.457955205,0.080920356,88,8760,2.363877618,2.373874034,5.249112388,1066.6,11575
